Ad,Soyad,Telefon,Email,Adres,Not
Ahmet,Yilmaz,+90 532 111 22 33,ahmet.yilmaz@mail.com,"Istanbul, Kadikoy",
Mehmet Ali,,05321112233,,Ankara,"Soyadi yok"
Ayse,KARA,5321112233,ayse.kara@mail,"Izmir","Email hatali"
Hasan,Demir,+905321112233,hasan.demir@mail.com,Istanbul,
Hakan A.,Celik,905321112233,hakan.celik@gmail.com,Istanbul,
Fatma Nur,Yilmaz,0 532 111 22 33,,Adana,"Duplicate olabilir"
"Merve",Kaya,0532-111-22-33,mervekaya@mail.com,Manisa,"Ad alaninda tirnak"
Murat,Sahin,+90 532 1112233,,Konya,"Email eksik"
Ahmet,Yilmaz,+905321112233,ahmet.yilmaz@mail.com,Istanbul,"Ayni kisi mi"
Caner,Tas,0532 111,caner.tas@mail.com,-,"Telefon eksik"
Ceren,,+90 5321112233,ceren@@mail.com,Istanbul,"Email hatali"
Yusuf,DemIr,0(532)1112233,yusuf.demir@mail.com,Hatay,"Soyad farkli"
Esra,Arslan,+90-532-111-22-33,esra_arslanmail.com,Antalya,"@ eksik"
Muhammed,Ak,5321112233,,Istanbul,"Email yok"
M.,Demir,5321112233,mdemir@mail.com,,"Ad belirsiz"
